Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
DYTV-2040553,892,777571,1624,211,6478,22,3113040,6,1176,4681,2,2,1.8331e+06,3,777571,0,892,0,0,0,0
DZ-Charaf-43,1225,1280213,136,155,736,5,1320750,3,2301,2881,1,0,1.27909e+06,2,1280213,0,1225,0,0,0,0
Dakohri,1165,1383161,6875,785,63036,13,3368110,6,4260,3392,0,0,6.43909e+06,2,1383161,0,1165,0,0,0,0
Dan-Celentano,1080,930126,2573,400,16568,10,2305680,4,1643,2031,112,59,2.89356e+06,2,930126,0,1080,0,0,0,0
Darkulzz,964,1104818,2854,45,13622,7,1879130,4,2198,3761,0,0,3.87693e+06,2,1103527,1291,963,1,11.8627,22.3505,9.42175
Davaa420,2348,1156655,6275,24,27309,643,1800340,607,604,475,3,1,505195,2,1156655,0,2348,0,0,0,0
DazpolzZ,843,764144,1745,103,4245,3,2086250,4,2881,2029,112,40,4.69916e+06,2,764144,0,843,0,0,0,0
DeStrOyeR144,696,699952,948,16,4759,3,1303650,2,1793,2724,4,3,3.54286e+06,2,699952,0,696,0,0,0,0
DeathByACr1t,637,848570,1258,71,5583,5,1316200,2,1758,3547,1,3,1.55523e+06,1,848570,0,637,0,0,0,0
DefilarTheGreat,1776,1332037,2837,202,6928,8,2102540,4,2127,2712,41,22,3.45254e+06,1,1331107,930,1775,1,10.7388,14.1029,15.2084
DerHerrOberst,2113,1760620,2019,51,2552,1,2476320,6,4175,1849,20,3,5.42153e+06,0,1760620,0,2113,0,0,0,0
DerKevin27,810,958413,2192,468,12217,9,1854640,3,2180,3211,9,2,2.50858e+06,2,958413,0,810,0,0,0,0
DerMettwurstmann,1132,1335021,1575,201,6625,2,1451240,4,2246,3094,0,0,3.7447e+06,2,1335021,0,1132,0,0,0,0
DigUrGraveNow,1204,1575470,293,46,2257,10,1811430,5,3388,5485,0,0,4.84114e+06,1,1575470,0,1204,0,0,0,0
Diggo68,2854,1988299,881,148,13125,9,3384900,8,4916,2250,82,56,4.0562e+06,1,1988299,0,2854,0,0,0,0
Doctor_PHNX,1443,1477998,1784,44,11125,8,2086460,5,2892,1818,16,4,3.23353e+06,2,1477998,0,1443,0,0,0,0
Domantalie,1074,794952,2441,37,10579,2,2598170,7,4910,3647,29,2,4.61077e+06,2,794952,0,1074,0,0,0,0
Don-Domingo01,1005,1099766,1745,244,4643,3,1883810,4,2929,4597,82,46,3.00484e+06,2,1099766,0,1005,0,0,0,0
DonDeni,714,887574,1061,0,2528,2,1556160,4,3018,4129,4,1,3.96323e+06,2,887574,0,714,0,0,0,0
Donnie_Dump,4248,2096617,562,0,9941,3,1556180,1,615,656,11,0,874430,1,2096617,0,4248,0,0,0,0
DouyuTV-Uncle3rd,1546,1702125,998,161,5437,3,1893830,5,2732,5350,45,15,3.66638e+06,3,1702125,0,1546,0,0,0,0
Dr_Lickenfinga,1485,1397867,189,32,6978,646,1468330,4,4641,2927,2,0,7.05306e+06,2,1397867,0,1485,0,0,0,0
Drittfugl,987,949304,1865,77,15050,7,1879720,4,3466,3047,4,1,4.21307e+06,2,949304,0,985,2,2,8.56222,7.41006
Dukador,1070,818533,2025,120,10665,7,2322800,5,3459,2517,26,17,2.15409e+06,2,818533,0,1070,0,0,0,0
Dustkiller,2371,1902386,1235,147,5697,1,1927670,6,2219,3594,0,0,4.70403e+06,2,1902386,0,2371,0,0,0,0
Dz-KaTaNa,1041,1086309,449,9,2034,929,1377060,3,4363,4068,7,5,5.4094e+06,2,1086309,0,1041,0,0,0,0
EDDISONN,786,789315,128,9,6829,4,1841080,3,1429,1657,62,17,740305,2,789315,0,786,0,0,0,0
ENiGMAdubz,813,829953,984,185,3342,2,1258810,2,1643,2808,40,11,1.91295e+06,2,829953,0,813,0,0,0,0
ERoTiiCK,654,636120,2726,59,9921,3,1533880,3,1714,1938,166,47,2.564e+06,2,636120,0,654,0,0,0,0
ESP-No4,904,1128508,8816,5,29637,3,2972460,8,2883,3545,0,0,2.08373e+06,3,1128508,0,904,0,0,0,0
EddyVercenti,872,1022615,911,82,3469,2,1586570,4,2135,3001,37,14,3.10448e+06,2,1022615,0,872,0,0,0,0
EgoBusta,1050,1310940,483,161,1745,1,1847480,6,5013,5735,3,1,6.53716e+06,1,1310940,0,1050,0,0,0,0
Emzak77,847,861110,1577,223,4391,1,1801580,3,1915,2923,15,0,3.2362e+06,1,861110,0,847,0,0,0,0
Enthilsahr,809,710278,3020,98,14019,8,1749110,3,2230,2571,81,36,2.05391e+06,2,710278,0,809,0,0,0,0
Eradon10,1002,1000682,891,52,6801,5,1410040,3,1645,3130,0,0,3.14259e+06,2,1000682,0,1002,0,0,0,0
EusKa_Z3phyR,1204,1258414,3839,18,19499,590,1849690,5,4233,4265,0,0,5.99793e+06,2,1255514,2900,1201,3,17.2226,19.8396,43.8735
Ever3lade,1159,1162594,2765,391,13331,12,1897820,4,2971,2953,8,0,4.09324e+06,1,1162594,0,1159,0,0,0,0
FAILorigin,1569,1630604,3157,103,9597,3,2636360,7,4509,3953,20,7,5.75494e+06,2,1630604,0,1569,0,0,0,0
FEARush-BLiZZaRD,1081,1084230,994,78,3180,3,1919220,3,1810,2860,23,13,4.11776e+06,2,1084230,0,1081,0,0,0,0
FFI_Oneal,763,1097990,1704,263,16059,9,1693500,3,3143,3623,72,10,3.49143e+06,2,1097306,684,763,0,8.79172,0,0
FLA_AxIoN,739,826657,1673,200,9276,7,1622980,2,3397,2455,0,0,5.98344e+06,2,826657,0,739,0,0,0,0
Fantasy-MG,1017,656788,2128,21,7806,2,1593440,2,3064,2766,0,0,718150,2,656788,0,1017,0,0,0,0
FarewelI,844,848144,301,137,4337,3,2013820,5,2890,2840,26,12,4.95056e+06,1,848144,0,844,0,0,0,0
Fatedxin,988,1099546,1317,90,4803,11,1427160,3,2432,2144,1,0,4.08907e+06,1,1099546,0,988,0,0,0,0
Firespawn84,731,833014,1013,101,7170,2,1280590,2,1646,2061,1,8,1.36515e+06,2,833014,0,731,0,0,0,0
FlexerJR,926,811959,686,10,1173,4,2138580,5,3923,2656,45,19,3.99512e+06,2,811959,0,926,0,0,0,0
Floatinify,679,739754,1848,107,10112,6,1336910,2,2191,3533,1,1,3.87344e+06,1,739754,0,679,0,0,0,0
Flobbiefloo,751,966027,4074,76,13366,8,2482200,5,2916,2616,33,6,1.49689e+06,2,966027,0,751,0,0,0,0
Floooweiz2,1438,1722977,56,19,225,4,1816070,5,4654,2818,0,0,7.7383e+06,2,1722977,0,1438,0,0,0,0
Foxdie911,795,883351,905,135,4398,4,1620480,4,2956,4917,12,3,3.9017e+06,2,883351,0,795,0,0,0,0
Foxxhound_87,856,718247,1636,120,7125,5,1564750,2,2075,1933,12,7,3.69888e+06,2,718247,0,856,0,0,0,0
Frakes95,1038,1075807,5006,100,11232,5,2569140,6,3985,3058,15,6,5.65451e+06,2,1075807,0,1038,0,0,0,0
