Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region
nrto5,327,333806,321,0,472,1,375796,1,687,881,6,1,1.23726e+06,1
onisich,210,191593,178,8,1327,485,345621,767,347,279,3,2,291900,2
orests199,512,390953,380,12,3003,445,641991,1,323,315,225,92,525755,2
orion0510,201,203565,247,14,1043,1,320939,1,666,399,0,0,941650,3
otsen,97,134479,484,52,2537,957,217232,498,416,525,1,0,474785,2
oxian,188,201928,339,0,4056,1,420717,760,399,307,8,5,359785,2
paQsovsky1,231,251371,343,0,1894,90,357333,1,1020,970,0,1,1.30545e+06,2
pahakostaja,158,133604,84,43,314,456,242608,351,289,325,0,0,732160,2
painkiller147,366,260057,237,0,981,274,241544,527,516,349,0,0,523090,1
panicboy21,246,233088,445,8,4026,1,217294,539,467,494,0,0,621100,3
pankracius7,240,169655,40,0,173,1,269293,639,413,300,3,7,87995,2
panzerrune,368,330364,586,0,4150,1,433881,1,1228,664,27,3,1.02598e+06,2
parmesan777,575,511162,1221,81,4348,5,723307,1,1461,1335,0,0,2.08018e+06,3
peanyy,197,196628,34,34,256,108,231394,524,174,437,46,28,210235,2
pereplex,802,499496,129,0,9,0,82065,6,166,78,0,0,157080,2
pero_HR,357,277732,127,2,634,290,361557,1,660,535,33,10,490415,2
pesorero,444,459800,359,260,1981,1,370501,1,879,876,4,0,889525,2
pettrick_CZ,141,112686,603,0,4030,1,430550,687,252,142,27,20,348900,2
phil05X,148,125124,199,0,722,286,188071,331,281,263,6,2,341050,2
pibuceman,364,241922,360,0,855,382,343787,866,597,460,18,9,487010,2
pieplough,259,275364,372,0,2751,1,374925,1,1088,963,0,2,1.12006e+06,2
pilavyer_player,386,320960,129,19,525,303,310526,879,404,477,9,4,474340,2
pimpdaddy00,262,229570,491,59,2873,757,438586,1,812,769,7,5,839908,0
plasma474,222,135682,1068,50,5043,861,335851,634,458,336,0,0,731830,2
plebmaistera,185,217266,294,3,1666,346,308312,887,753,606,0,2,940230,2
pootis_inspector,148,103604,225,7,1234,447,194286,317,224,221,1,1,336230,2
power23n,153,176497,210,4,1881,336,198044,608,478,413,0,0,708825,3
predator_fra,169,201286,1209,0,8109,62,449058,1,668,686,0,0,904000,2
predator_rod,180,171649,162,0,511,58,184800,485,538,354,0,0,815600,3
premiuminsanity,155,179381,880,0,5099,201,349461,748,251,540,0,1,45860,1
professorjimesss,514,407568,662,42,2537,1,581984,1,987,902,22,10,1.44196e+06,1
proftector,136,140205,203,28,2338,2,199312,349,264,197,10,1,106685,2
pupi1976,245,233795,244,50,855,1,345037,885,323,289,24,6,451570,2
puresluck,144,153938,319,0,1981,515,330237,957,543,432,1,0,761960,2
purius,285,326197,197,43,1324,1,281281,1,723,677,0,0,866475,0
pyrdeop,255,285063,183,12,505,93,467831,1,316,677,7,6,414880,2
pythanabus,247,294132,779,0,2183,873,466842,1,1047,1114,0,0,1.20678e+06,2
qkekek135,200,246497,16,3,18,8,227260,695,677,376,0,0,1.0086e+06,3
quent485,82,90051,169,56,2856,1,136246,290,230,240,1,0,25535,2
qyjjl,205,221586,733,0,3570,2,347887,677,705,937,0,0,1.053e+06,0
rN-Benjae,136,164757,259,0,2032,130,189977,214,259,295,4,2,37965,2
raZdahaZdafaZ,197,222456,462,0,2591,142,249111,520,565,904,0,0,704510,2
rangus805,325,374283,1,85,124,753,31681,69,201,832,0,0,260625,1
raxar3103,391,476079,445,3,4476,338,534711,1,896,787,2,0,1.12752e+06,2
redCometz,215,169732,430,0,1473,324,252199,672,257,489,0,0,421125,1
reiskaaja,210,236501,49,0,88,86,292647,1,684,1127,0,0,790300,2
remik900,274,229730,717,0,4389,68,411963,835,1243,691,0,0,250185,2
