Username, Rounds Played, Time Played, Revives, Repairs, Heals, Resupplies, Squad Score, Orders_Comp, Flag Captured, Flag Defended, Bombs Placed, Bombs Defused, Game Mode Score, Region, RTimePl, DTimePL,RRounds, DRounds, ActInd, PTFOInd, TWInd
Donnie_Dump,4248,2096617,562,0,9941,3,1556180,1,615,656,11,0,874430,1,2096617,0,4248,0,0,0,0
Drittfugl,1003,959926,1876,77,15139,7,1937300,4,3536,3108,4,1,4.38034e+06,2,952171,7755,992,11,30.7347,20.6979,13.708
Dukador,1070,818533,2025,120,10665,7,2322800,5,3459,2517,26,17,2.15409e+06,2,818533,0,1070,0,0,0,0
Dustkiller,2377,1908993,1243,147,5706,1,1946450,6,2225,3609,0,0,4.72513e+06,2,1902386,6607,2371,6,24.7095,7.79466,9.47973
Dz-KaTaNa,1041,1086309,449,9,2034,929,1377060,3,4363,4068,7,5,5.4094e+06,2,1086309,0,1041,0,0,0,0
EDDISONN,786,789315,128,9,6829,4,1841080,3,1429,1657,62,17,740305,2,789315,0,786,0,0,0,0
ENiGMAdubz,813,829953,984,185,3342,2,1258810,2,1643,2808,40,11,1.91295e+06,2,829953,0,813,0,0,0,0
ERoTiiCK,654,636120,2726,59,9921,3,1533880,3,1714,1938,166,47,2.564e+06,2,636120,0,654,0,0,0,0
EgoBusta,1050,1310940,483,161,1745,1,1847480,6,5013,5735,3,1,6.53716e+06,1,1310940,0,1050,0,0,0,0
Emzak77,847,861110,1577,223,4391,1,1801580,3,1915,2923,15,0,3.2362e+06,1,861110,0,847,0,0,0,0
Eradon10,1002,1000682,891,52,6801,5,1410040,3,1645,3130,0,0,3.14259e+06,2,1000682,0,1002,0,0,0,0
EusKa_Z3phyR,1208,1262064,3858,18,19556,590,1856490,5,4246,4285,0,0,6.03e+06,2,1258414,3650,1204,4,19.3548,17.1591,25.4211
Ever3lade,1159,1162594,2765,391,13331,12,1897820,4,2971,2953,8,0,4.09324e+06,1,1162594,0,1159,0,0,0,0
FAILorigin,1569,1630604,3157,103,9597,3,2636360,7,4509,3953,20,7,5.75494e+06,2,1630604,0,1569,0,0,0,0
